Galaxy,V0,rc,n,f_disk,RMS,chi2_red,WP50,logM_NFW,logM_Ein,logM_DC14
DDO154,45.34319353476388,2.622320968747308,1.782692690421942,0.6549267268744671,0.7379266823612483,0.8100472251476866,,,,
F571-V1,77.31111037323237,5.304539485867093,1.8135790979286763,0.5253896880386553,0.9641965520931072,0.035399148,,,,
IC2574,94.83570278198964,14.605371328636547,1.5485124786223656,0.2000000000245609,1.9899019545001564,1.949719751929314,,,,
KK98-251,30.76171293307777,1.9307534145165195,2.3304240573303185,0.2000000000032198,0.8174541063401187,0.2278060963542007,,,,
NGC0055,70.18623148702454,5.850205685867195,2.433708845924156,0.8068732903328933,0.9454449661351072,0.1043647333643938,,,,
NGC0801,257.4745245643961,111.94297984073052,1.0398633403661872,0.7981982310260162,12.582267998166966,6.007188912786308,,,,
NGC2403,121.62600330001764,2.158525744174266,1.0262754079218754,0.2000000000004344,4.221160038737295,8.000239856556913,,,,
NGC2903,169.52111441570537,2.496000000000001,1.608843386980888,0.5035069884518195,14.836056844272644,4.930654246477089,,,,
NGC3198,135.09474483073194,5.461748379113942,1.4583263266783768,0.5945534235016208,4.182927591092225,0.4188046228588546,,,,
NGC5055,152.33577186321654,11.797443499844436,1.8156851311436584,0.6690267911208154,2.538844712141256,1.4522822746808706,,,,
NGC7331,257.6296645245649,31.181335806273985,0.5658024615019164,0.517215657,6.464057709067822,0.9123804888097145,,,,
UGC02259,82.71340043773064,1.5608255082486926,1.1471865952147162,0.2,1.4282185951629554,0.7868781299924585,,,,
UGC02953,236.7478209416873,6.239000000000002,2.9481789118567883,0.6163327446929541,21.659896150201067,6.159342735081928,,,,
UGCA281,27.684970016766385,0.4812934590147639,1.804124790399116,0.2,0.3562948512281659,0.098740501,,,,
